qc_job_name|qc_co_name|qc_job_loc|qc_job_pay|qc_job_date|qc_job_desc|qc_co_type|qc_co_ee_size|qc_co_tags|qc_co_desc|qc_co_address
跨境电商推广/海外市场推广主管|广州优脉电子商务有限公司|广州-白云区|0.6-1万/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外服务专员|佛山六维度科技投资有限公司|佛山|5-15万/年|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外客服|上海威世国际货物运输代理有限公司|上海-虹口区|4.5-6千/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外技术支持|杭州朵想数据技术有限公司|杭州-西湖区|0.8-1万/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
市场专员（上市公司 双休 五险一金 海外培训/旅游）|北京新东方前途出国咨询有限公司郑州分公司|郑州-金水区|3-6千/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外业务助理|艾珐装帧材料（上海）有限公司|上海-松江区|6-7千/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外销售主管/经理|广州海邦国际货运代理有限公司|深圳-罗湖区|4.5-6千/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外分部客户经理（亦招实习生）|福建恒安集团有限公司|泉州|3-4.5千/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
外贸业务/外贸跟单/翻译/国际业务/海外业务|深圳市信美通新技术有限公司|深圳-龙华新区|4.5-6千/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外销售总监|上海艺品数码科技有限公司|上海-杨浦区|1.8-3万/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外会计兼投资关系（经理）|广州康臣药业有限公司|广州-萝岗区|8-18万/年|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外业务员|万盛进出口贸易有限公司|东莞-厚街镇|0.6-1万/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外客服|利通物流有限公司上海分公司|南京-建邺区|3-4.5千/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
海外销售大客户经理/高级外贸业务员|上海智位机器人股份有限公司|上海|0.5-1万/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
国际物流海外仓业务员|广州市柏迅货运代理有限公司|广州-白云区|6-8千/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
散货拼箱海外操作兼客服|深圳市威嘉国际货运代理有限公司|深圳-罗湖区|6-8千/月|06-10||"民营公司  |  50-150人  |  交通/运输/物流"||||公司地址：深圳市龙华新区梅龙大道194号卫东龙商务大厦A座516-517（自有物业）(邮编：518109)
