job_nm|month_pay|job_loc|co_id|co_nm|co_ownership|co_ee_size|co_link|co_industry|co_add|co_desc
葡萄牙语高级翻译（小语种,出差）薪资可谈|10000-20000|北京-朝阳区|CC366307621|北京聚思信息咨询有限公司|['民营']|['20-99人']|[]|['北京市朝阳区东四环中路60号远洋国际中心C座801']|[]|[<Element div at 0x107692ae8>]
研究员（,FOF方向）-北京-00500|面议|北京-朝阳区|CC120231133|嘉实基金管理有限公司|['其它']|['500-999人']|['http://www.jsfund.cn']|['基金/证券/期货/投资']|['北京市建国门北大街8号华润大厦8层']|[<Element div at 0x106a13a98>]
Linux服务器 运维工程师（,出差，薪资可谈）|15000-30000|北京-朝阳区|CC366307621|北京聚思信息咨询有限公司|['民营']|['20-99人']|[]|['北京市朝阳区东四环中路60号远洋国际中心C座801']|[]|[<Element div at 0x1076ac368>]
中心总经理|50001-70000|北京-丰台区|CC285593519|中标建设集团股份有限公司北京分公司|['上市公司']|['500-999人']|['http://4008139998.com/']|['房地产/建筑/建材/工程,家居/室内设计/装饰装潢']|['北京市丰台区万柳桥甲3号宝隆大厦3层中标建设集团有限公司']|[<Element div at 0x106b69a48>]
装饰设计师|25000-30000|北京-丰台区|CC602876127|北京蜀韵东方装饰工程有限公司|['民营']|['100-499人']|['http://www.shuyundongfang.com']|['家居/室内设计/装饰装潢']|['北京市丰台区南四环西路128号诺德中心2号楼1508']|[<Element div at 0x1076ac368>]
装饰设计师|15001-20000|北京|CC602876127|北京蜀韵东方装饰工程有限公司|['民营']|['100-499人']|['http://www.shuyundongfang.com']|['家居/室内设计/装饰装潢']|['北京市丰台区南四环西路128号诺德中心2号楼1508']|[<Element div at 0x106b771d8>]
购片业务经理·《看电影》招聘|8001-10000|北京-朝阳区|CC341425987|上海因为热爱文化传媒有限公司|['民营']|['20-99人']|[]|['上海市青浦区华浦路500号6幢C区6148室']|[]|[<Element div at 0x1076ac1d8>]
销售|6001-8000|北京-朝阳区|CC147814310|万达杰诚国际物流有限公司|['合资']|['100-499人']|['http://www.pandaglb.com']|['贸易/进出口']|['中国北京朝阳区朝阳路67号财满街10号楼0312室']|[<Element div at 0x10767d458>]
客服人员|6001-8000|北京-朝阳区|CC147814310|万达杰诚国际物流有限公司|['合资']|['100-499人']|['http://www.pandaglb.com']|['贸易/进出口']|['中国北京朝阳区朝阳路67号财满街10号楼0312室']|[<Element div at 0x1076ac368>]
SEO优化推广专员|4000-6000|北京|CC266270035|北京一路捞互联网科技有限公司|['股份制企业']|['1000-9999人']|['http://www.16lao.com']|['互联网/电子商务,IT服务(系统/数据/维护)']|['北京市丰台区航丰路1号时代财富天地2015室']|[<Element div at 0x1076a8098>]
市场经理|8000-15000|北京-海淀区|CC423553913|北京君和信达科技有限公司|['民营']|['20-99人']|['http://www.powerscan.com.cn']|['贸易/进出口']|['北京市海淀区学清路']|[<Element div at 0x1076a80e8>]
Java高级开发工程师（,出差,薪资可谈）|25000-50000|北京-朝阳区|CC366307621|北京聚思信息咨询有限公司|['民营']|['20-99人']|[]|['北京市朝阳区东四环中路60号远洋国际中心C座801']|[]|[<Element div at 0x1076ac908>]
融资总监（,大型电力工程项目）|40000-60000|北京|CC433496385|中能国际控股集团有限公司|['外商独资']|['100-499人']|[]|['朝阳区东三环中路1号环球金融中心（WFC大楼）西塔19层1902室']|[]|[<Element div at 0x1076a8908>]
背景调查顾问／人力资源咨询顾问（英语／,方向）|4000-8000|北京|CC182976827|轩渡企业管理咨询(北京)有限公司|['民营']|['20-99人']|['http://www.shinedocheck.com']|['专业服务/咨询(财会/法律/人力资源等)']|['北京市通州区新华西街58号万达广场B座1912']|[<Element div at 0x10767d458>]
产品经理|20001-30000|北京-朝阳区|CC392665612|纷美(北京)贸易有限公司|['上市公司']|['1000-9999人']|['http://www.greatviewpack.com']|['印刷/包装/造纸,快速消费品（食品/饮料/烟酒/日化）,贸易/进出口']|['北京市朝阳区酒仙桥路14号A1区4-2F']|[<Element div at 0x1076a85e8>]
销售经理|18000-30000|北京|CC132723354|广州市森大贸易有限公司|['民营']|['1000-9999人']|['http://www.sunda.com']|['贸易/进出口,快速消费品（食品/饮料/烟酒/日化）,加工制造（原料加工/模具）']|['广州市天河区龙口西路71号贤人阁商务中心1-2层']|[<Element div at 0x106a13a98>]
渠道优化师|8000-15000|北京|CC162228528|北京多格科技有限公司|['其它']|['20-99人']|[]|['北京市海淀区知春路锦秋国际大厦B座']|[]|[<Element div at 0x1076a8db8>]
渠道运营|8000-15000|北京|CC162228528|北京多格科技有限公司|['其它']|['20-99人']|[]|['北京市海淀区知春路锦秋国际大厦B座']|[]|[<Element div at 0x106b77228>]
