job_nm|month_pay|job_loc|co_id|co_nm|co_ownership|co_ee_size|co_link|co_industry|co_add|co_desc
虚拟化系统集成销售经理|10000-20000|上海-静安区|CC145013492|上海网越信息技术有限公司|合资|100-499人|http://www.51weihu.com|IT服务(系统/数据/维护),计算机硬件,互联网/电子商务,计算机软件|上海闸北区共和新路3088号祥腾财富广场1号楼206A室|[<Element div at 0x10779fa98>, <Element div at 0x10779fea8>, <Element div at 0x10779fe08>, <Element div at 0x10779fbd8>, <Element div at 0x10779ff98>, <Element div at 0x10779f138>, <Element div at 0x10779fae8>, <Element div at 0x10779f0e8>, <Element div at 0x1077a0818>]
大客户经理|15001-20000|上海|CC166275810|无锡先导智能装备股份有限公司|上市公司|1000-9999人|http://www.leadchina.cn|仪器仪表及工业自动化,大型设备/机电设备/重工业|无锡新区新锡路20号|[<Element div at 0x10779f818>]
OPL-网络工程师/架构师|8000-16000|上海|CC469173413|上海优刻得信息科技有限公司|民营|500-999人|http://www.ucloud.cn|互联网/电子商务,计算机软件,IT服务(系统/数据/维护)|上海市杨浦区隆昌路619号（城市概念创意园区）10号楼B座|[<Element div at 0x10779fae8>, <Element div at 0x10779fea8>]
网络工程师/IT技术支持|6001-8000|上海-浦东新区|CC452559614|上海仁聘管理咨询有限公司|合资|20-99人|http://www.job12333.com|快速消费品（食品/饮料/烟酒/日化）,计算机软件,贸易/进出口,广告/会展/公关|徐汇区中山西路2025号永升大厦21楼2125-2126|
Senior SP Network Consultant|面议|上海|CC000613300|埃森哲(中国)有限公司|外商独资|1000-9999人||上海市||
sales|25000-34000|上海|CC425912514|衡驰企业管理咨询(上海)有限公司|民营|20人以下||上海市浦东新区东方路738号816室||
系统运维工程师|8000-16000|上海|CC433278133|上海宏路数据技术股份有限公司|股份制企业|100-499人||上海市虹口区溧阳路735号半岛湾创意园1号楼201室||
网络工程师|8001-10000|上海|CC301137739|上海一米投资管理有限公司|合资|100-499人||上海市黄浦区689号海通证券大厦1607室||
Network Engineer|9000-16000|上海|CC457927219|万创网络科技有限公司|民营|20人以下||上海||
IT技术项目管理-日语-上海长宁区|8000-12000|上海-长宁区|CC292801039|上海提浜克企业管理有限公司|合资|20-99人||上海市杨浦区荆州路334弄108号A区101室||
网络工程师|8000-15000|上海|CC120946989|汉庭星空（上海）酒店管理有限公司|外商独资|1000-9999人|http://www.huazhu.com|酒店/餐饮|上海市虹桥路2266号|[<Element div at 0x10779d458>]
(ID58307)网络工程师（大型汽车企业）|10001-15000|上海|CC120123197|RandstadTalent|合资|100-499人|http://www.randstad.cn|专业服务/咨询(财会/法律/人力资源等)|上海市梅园路77号22楼|
网络工程师|8001-10000|上海-徐汇区|CC590492229|上海擎昭实业有限公司|国企|100-499人||||
网络工程师|4001-6000|上海|CC244863118|上海捷卫信息科技有限公司|民营|20-99人||上海市中山西路1265弄18号湘江大厦1206室||[<Element div at 0x10779fa98>, <Element div at 0x10779fae8>, <Element div at 0x1077a0bd8>]
IT工程师|6000-10000|上海|CC660549425|杭州中港科技有限公司|民营|100-499人|http://null|通信/电信/网络设备,IT服务(系统/数据/维护),计算机软件,计算机硬件|新加坡科技园LEO5幢2楼|[<Element div at 0x10779f908>]
系统集成（SI）项目经理    薪资可达13K税后|12000-15000|上海-长宁区|CC291388085|上海会坚商务咨询有限公司|民营|20人以下|http://www.huijian.biz|专业服务/咨询(财会/法律/人力资源等)|上海市张扬路400号|
客户经理-华为-上海-年薪12-18w|8001-10000|上海|CC143900599|中建材信息技术股份有限公司|股份制企业|100-499人|http://www.cnbmtech.com/|计算机硬件,通信/电信运营、增值服务,医疗设备/器械,通信/电信/网络设备|北京市海淀区首体南路9#主语商务中心4号楼18层1801|
网络工程师|6001-8000|上海-徐汇区|CC301127688|上海库智信息科技有限公司|外商独资|100-499人|http://null|互联网/电子商务,基金/证券/期货/投资,跨领域经营,礼品/玩具/工艺美术/收藏品/奢侈品|上海市蒙自路207号3号楼2层|
Sales Manager|15001-20000|上海|CC205081417|北京佩美国际管理咨询有限公司|外商独资|20人以下||北京市西城区西直门外大街1号院西环广场A座15层A3||
服务器存储工程师|6001-8000|上海-普陀区|CC701714023|上海时伦信息技术有限公司|民营|100-499人|http://www.deshine.com.cn|计算机硬件|普陀区真南路1428号致盛大厦北楼D座1105D室|[<Element div at 0x10779d228>]
兼职：网络工程师、POS运维工程师、服务器工程师|1000-2000|上海|CC448636718|北京富通金信计算机系统服务有限公司|外商独资|100-499人|http://www.ftabs.com.cn|计算机软件,互联网/电子商务|北京市朝阳区惠新东街8号设计大厦14层|[<Element div at 0x10779d9f8>]
芯片后端CAD工程师（PD and Methodology）|面议|上海|CC000542945|华为技术有限公司|民营|10000人以上|http://www.huawei.com|通信/电信运营、增值服务,IT服务(系统/数据/维护),计算机硬件,计算机软件|深圳龙岗坂田|[<Element div at 0x10779d188>]
MemoryCompiler工程师|面议|上海|CC000542945|华为技术有限公司|民营|10000人以上|http://www.huawei.com|通信/电信运营、增值服务,IT服务(系统/数据/维护),计算机硬件,计算机软件|深圳龙岗坂田|[<Element div at 0x10779d458>]
芯片研发IT工程师|面议|上海|CC000542945|华为技术有限公司|民营|10000人以上|http://www.huawei.com|通信/电信运营、增值服务,IT服务(系统/数据/维护),计算机硬件,计算机软件|深圳龙岗坂田|[<Element div at 0x10779d9f8>]
芯片CAD工程师|面议|上海|CC000542945|华为技术有限公司|民营|10000人以上|http://www.huawei.com|通信/电信运营、增值服务,IT服务(系统/数据/维护),计算机硬件,计算机软件|深圳龙岗坂田|[<Element div at 0x107767db8>]
软件工程师|面议|上海|CC000542945|华为技术有限公司|民营|10000人以上|http://www.huawei.com|通信/电信运营、增值服务,IT服务(系统/数据/维护),计算机硬件,计算机软件|深圳龙岗坂田|[<Element div at 0x107767f48>]
